s;Players
30.06.2019 00:00;3093
01.07.2019 00:00;2735
02.07.2019 00:00;2509
03.07.2019 00:00;2567
04.07.2019 00:00;2861
05.07.2019 00:00;2809
06.07.2019 00:00;2800
07.07.2019 00:00;3129
08.07.2019 00:00;2688
09.07.2019 00:00;2551
10.07.2019 00:00;2211
11.07.2019 00:00;2087
12.07.2019 00:00;2153
13.07.2019 00:00;2254
14.07.2019 00:00;2347
15.07.2019 00:00;1815
16.07.2019 00:00;1676
17.07.2019 00:00;1604
18.07.2019 00:00;1523
19.07.2019 00:00;1549
20.07.2019 00:00;1712
21.07.2019 00:00;1916
22.07.2019 00:00;1482
23.07.2019 00:00;1272
24.07.2019 00:00;1285
25.07.2019 00:00;1121
26.07.2019 00:00;1234
27.07.2019 00:00;1382
28.07.2019 00:00;1605
29.07.2019 00:00;1271
30.07.2019 00:00;1242
31.07.2019 00:00;1108
01.08.2019 00:00;1138
02.08.2019 00:00;1194
03.08.2019 00:00;1392
04.08.2019 00:00;1422
05.08.2019 00:00;1253
06.08.2019 00:00;1073
07.08.2019 00:00;1143
08.08.2019 00:00;1126
09.08.2019 00:00;1065
10.08.2019 00:00;1388
11.08.2019 00:00;1421
12.08.2019 00:00;1060
13.08.2019 00:00;1016
14.08.2019 00:00;825
15.08.2019 00:00;986
16.08.2019 00:00;1005
17.08.2019 00:00;1192
18.08.2019 00:00;1279
19.08.2019 00:00;1041
20.08.2019 00:00;884
21.08.2019 00:00;926
22.08.2019 00:00;903
23.08.2019 00:00;988
24.08.2019 00:00;1158
25.08.2019 00:00;1166
26.08.2019 00:00;944
27.08.2019 00:00;875
28.08.2019 00:00;964
29.08.2019 00:00;1043
30.08.2019 00:00;1113
31.08.2019 00:00;1242
01.09.2019 00:00;1359
02.09.2019 00:00;1382
03.09.2019 00:00;944
04.09.2019 00:00;899
05.09.2019 00:00;886
06.09.2019 00:00;961
07.09.2019 00:00;1193
08.09.2019 00:00;1270
09.09.2019 00:00;893
10.09.2019 00:00;852
11.09.2019 00:00;899
12.09.2019 00:00;2921
13.09.2019 00:00;6671
14.09.2019 00:00;10035
15.09.2019 00:00;9881
16.09.2019 00:00;6080
17.09.2019 00:00;3439
18.09.2019 00:00;3492
19.09.2019 00:00;3020
20.09.2019 00:00;2860
21.09.2019 00:00;3141
22.09.2019 00:00;3037
23.09.2019 00:00;2134
24.09.2019 00:00;2040
25.09.2019 00:00;1950
26.09.2019 00:00;5192
27.09.2019 00:00;4916
28.09.2019 00:00;6064
29.09.2019 00:00;6010
30.09.2019 00:00;4367
01.10.2019 00:00;3509
02.10.2019 00:00;3435
03.10.2019 00:00;3768
04.10.2019 00:00;3730
05.10.2019 00:00;4174
06.10.2019 00:00;4153
07.10.2019 00:00;3157
08.10.2019 00:00;2936
09.10.2019 00:00;2880
10.10.2019 00:00;3213
11.10.2019 00:00;3372
12.10.2019 00:00;3825
13.10.2019 00:00;3838
14.10.2019 00:00;3024
15.10.2019 00:00;2534
16.10.2019 00:00;2470
17.10.2019 00:00;2900
18.10.2019 00:00;2827
19.10.2019 00:00;3162
